"","GreennessIndex","Contrast","PlantBiomass","VerticalWaterDistance","SoilMoistureAvrg","pH","EC","SalinityAdjusted","BulkDensityIncRoots","ThufurHollowNA","AnimalActivity","ShannonIndex","SpeciesRichness","PlantBiomassLog","VerticalWaterDistanceLog","pHLog","ECLog","SalinityAdjustedLog","BulkDensityIncRootsLog"
"s3t3p1",0.3500889,25.3502054923956,9.6,81,27.33,8.31,398.7,3428.82,1.187,"Thufur","0",1.06371555298429,3,2.36085400111802,4.44265125649032,2.23108909128898,5.99071426571728,8.14026306064885,0.782530741694631
"s3t3p2",0.3843608,38.0287061295335,13.8,81,40.33,8.69,914.7,8689.65,0.744,NA,"0",1.65432197070638,6,2.69462718077007,4.44265125649032,2.27109442590267,6.81968880011369,9.07000301408126,0.556181325486788
"s3t3p3",0.3838025,36.626165674363,12.2,45,43.47,7.92,251,2384.5,0.76,"Hollow","0",1.57805163067824,6,2.58021682959233,3.89182029811063,2.18829594659192,5.52942908751142,7.77716402495616,0.56531380905006
"s3t3p4",0.3401774,20.3162908087871,10.7,10,15.93,8.67,857.1,8142.45,1.066,"Thufur","0",0.470235962355249,3,2.45958884180371,2.63905732961526,2.2690283094652,6.75472064281308,9.00496920212862,0.725614370697447
"s3t3p5",0.402751,39.072593007118,10.8,9,58.03,7.6,801.5,11060.7,0.711,NA,"0",0.963551180018119,4,2.46809953147162,2.56494935746154,2.15176220325946,6.68773185500417,9.31124397031705,0.537077994910056
"s3t3p6",0.4144648,37.0021228346736,10.8,15,62.33,7.53,1003,13841.4,0.586,NA,"0",1.09603496975765,4,2.46809953147162,2.94443897916644,2.14358936150359,6.91174730025167,9.53549162454244,0.461215123212656
"s3t4p1",0.4030614,56.6252763278549,12.6,35,51.07,8.25,275.3,2367.58,0.83,"Thufur","0",1.65841008377077,7,2.61006979274201,3.66356164612965,2.22462355152433,5.62148723192937,7.77004589844528,0.60431596685333
"s3t4p2",0.3529714,61.1366285079892,13.1,43,28.13,7.88,400.9,3808.55,0.574,"Hollow","0",0.579367146711296,4,2.64617479738412,3.85014760171006,2.18380155700408,5.99620330145516,8.24526635090896,0.453620149995211
"s3t4p3",0.4227284,50.8946841707985,18.4,4,70.47,7.35,323.2,2779.52,0.64,"Hollow","0",0.64110707656534,5,2.96527306606928,2.07944154167984,2.12226153886276,5.78136060930158,7.93039323955266,0.494696241836107
"s3t4p4",0.4222856,48.1175817116689,15.7,9,77.77,7.39,344.1,3268.95,0.371,"Hollow","1",0,1,2.81540871942271,2.56494935746154,2.12704052047911,5.84383423010396,8.09252997325452,0.315540400580177
"s3t4p5",0.3655458,50.9010383652059,9.7,47,21,7.61,458.5,4355.75,0.46,"Hollow","0",0.438640292037925,3,2.37024374146786,3.93182563272433,2.15292431843964,6.13013894179574,8.37948164554075,0.378436435720245
"s3t4p6",0.3633392,53.4536447271037,9.8,11,10.13,7.72,311,2954.5,0.656,NA,"0",0.136863993282248,2,2.37954613413017,2.70805020110221,2.16561923792089,5.74300318780948,7.99142312026442,0.504405055963068
"s3t5p1",0.3931825,45.7887171723537,11.3,10,60.77,7.77,462.2,6378.36,0.704,NA,"0",1.53519084913132,5,2.50959926237837,2.63905732961526,2.17133680638409,6.13815892625879,8.76082305782748,0.532978428407124
"s3t5p2",0.34696,50.2763442758639,17.4,47,46.57,9.17,1150,15870,1.275,NA,"0",0.682908104700472,2,2.91235066461494,3.93182563272433,2.31944221006047,7.04838640872188,9.67224882350756,0.821980052402914
"s3t5p4",0.4046649,47.8421945435032,19.5,8,49.8,8.12,821.1,7800.45,0.763,NA,"0",1.09895405283888,4,3.02042488614436,2.484906649788,2.21046980408624,6.71186204215809,8.96206489283679,0.567016903415733
"s3t5p5",0.3439492,41.0149726431023,10.4,55,24.57,8.59,747.3,10312.74,0.955,NA,"0",0.983891863803136,3,2.43361335540045,4.07753744390572,2.26072088889535,6.61780396708631,9.24123226583864,0.670390193437329
"s3t5p6",0.3404732,35.2924530266444,12.7,44,20.2,8.71,569.4,7857.72,1.24,NA,"0",1.19168922344041,4,2.61739583283408,3.87120101090789,2.27315628230323,6.34633786910009,8.969379022289,0.806475865866949
